id,palabra,significado,frecuencia
2,hila,fibra delgada,3
3,halo,círculo luminoso,3
4,honda,automóvil,2
5,casa,lugar para vivir,3
6,horno,aparato para cocina,1
7,hotel,lugar para hospedarse,1
8,helado,postre frío,1
9,halcón,ave de presa,1
10,perro,animal doméstico,3
11,hogar,lugar donde vive una familia,1
12,hoja,parte de una planta,1
13,hormiga,insecto pequeño,2
14,hallar,encontrar algo,1
15,hule,material flexible,1
16,cama,mueble para dormir,1
17,camino,ruta para desplazarse,1
18,canguro,animal marsupial,1
19,carta,mensaje escrito,1
20,carro,vehículo de transporte,2
21,luna arrazola,creadora de este gran proyecto,2
